,Real Price,All RES,wind,solar,hydro,biomass,Slovak,Can Change,No change,Gender_f*Real Price,Gender_f*All RES,Gender_f*wind,Gender_f*solar,Gender_f*hydro,Gender_f*biomass,Gender_f*Slovak,Gender_f*Can Change,Gender_f*No change,Age*Real Price,Age*All RES,Age*wind,Age*solar,Age*hydro,Age*biomass,Age*Slovak,Age*Can Change,Age*No change,Income*Real Price,Income*All RES,Income*wind,Income*solar,Income*hydro,Income*biomass,Income*Slovak,Income*Can Change,Income*No change,No Income*Real Price,No Income*All RES,No Income*wind,No Income*solar,No Income*hydro,No Income*biomass,No Income*Slovak,No Income*Can Change,No Income*No change,Energy Consumption*Real Price,Energy Consumption*All RES,Energy Consumption*wind,Energy Consumption*solar,Energy Consumption*hydro,Energy Consumption*biomass,Energy Consumption*Slovak,Energy Consumption*Can Change,Energy Consumption*No change,Region West*Real Price,Region West*All RES,Region West*wind,Region West*solar,Region West*hydro,Region West*biomass,Region West*Slovak,Region West*Can Change,Region West*No change,Region East*Real Price,Region East*All RES,Region East*wind,Region East*solar,Region East*hydro,Region East*biomass,Region East*Slovak,Region East*Can Change,Region East*No change,Household_size*Real Price,Household_size*All RES,Household_size*wind,Household_size*solar,Household_size*hydro,Household_size*biomass,Household_size*Slovak,Household_size*Can Change,Household_size*No change,Concern_1*Real Price,Concern_1*All RES,Concern_1*wind,Concern_1*solar,Concern_1*hydro,Concern_1*biomass,Concern_1*Slovak,Concern_1*Can Change,Concern_1*No change,RES_attitude_1*Real Price,RES_attitude_1*All RES,RES_attitude_1*wind,RES_attitude_1*solar,RES_attitude_1*hydro,RES_attitude_1*biomass,RES_attitude_1*Slovak,RES_attitude_1*Can Change,RES_attitude_1*No change,Know_green_provider*Real Price,Know_green_provider*All RES,Know_green_provider*wind,Know_green_provider*solar,Know_green_provider*hydro,Know_green_provider*biomass,Know_green_provider*Slovak,Know_green_provider*Can Change,Know_green_provider*No change,Providers_count*Real Price,Providers_count*All RES,Providers_count*wind,Providers_count*solar,Providers_count*hydro,Providers_count*biomass,Providers_count*Slovak,Providers_count*Can Change,Providers_count*No change,Appliance_count*Real Price,Appliance_count*All RES,Appliance_count*wind,Appliance_count*solar,Appliance_count*hydro,Appliance_count*biomass,Appliance_count*Slovak,Appliance_count*Can Change,Appliance_count*No change,Task_temp*Real Price,Task_temp*All RES,Task_temp*wind,Task_temp*solar,Task_temp*hydro,Task_temp*biomass,Task_temp*Slovak,Task_temp*Can Change,Task_temp*No change,Task_consumption*Real Price,Task_consumption*All RES,Task_consumption*wind,Task_consumption*solar,Task_consumption*hydro,Task_consumption*biomass,Task_consumption*Slovak,Task_consumption*Can Change,Task_consumption*No change,Task_appliances*Real Price,Task_appliances*All RES,Task_appliances*wind,Task_appliances*solar,Task_appliances*hydro,Task_appliances*biomass,Task_appliances*Slovak,Task_appliances*Can Change,Task_appliances*No change,Task_source*Real Price,Task_source*All RES,Task_source*wind,Task_source*solar,Task_source*hydro,Task_source*biomass,Task_source*Slovak,Task_source*Can Change,Task_source*No change
10,52,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1976,38,0,0,0,0,-38,38,38,156,3,0,0,0,0,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,52,1,0,0,0,0,-1,1,1,208,4,0,0,0,0,-4,4,4,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,208,4,0,0,0,0,-4,4,4,208,4,0,0,0,0,-4,4,4,260,5,0,0,0,0,-5,5,5,260,5,0,0,0,0,-5,5,5,104,2,0,0,0,0,-2,2,2
11,45,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,1710,-38,-38,-38,-38,-38,38,-38,-38,135,-3,-3,-3,-3,-3,3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,45,-1,-1,-1,-1,-1,1,-1,-1,45,-1,-1,-1,-1,-1,1,-1,-1,180,-4,-4,-4,-4,-4,4,-4,-4,0,0,0,0,0,0,0,0,0,45,-1,-1,-1,-1,-1,1,-1,-1,180,-4,-4,-4,-4,-4,4,-4,-4,180,-4,-4,-4,-4,-4,4,-4,-4,225,-5,-5,-5,-5,-5,5,-5,-5,225,-5,-5,-5,-5,-5,5,-5,-5,90,-2,-2,-2,-2,-2,2,-2,-2
12,55,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,38,38,38,38,165,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1,1,1,1,55,0,0,0,0,1,1,1,1,220,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1,1,1,1,220,0,0,0,0,4,4,4,4,220,0,0,0,0,4,4,4,4,275,0,0,0,0,5,5,5,5,275,0,0,0,0,5,5,5,5,110,0,0,0,0,2,2,2,2
13,55,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,2090,0,0,38,0,0,38,-38,-38,165,0,0,3,0,0,3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,-1,-1,55,0,0,1,0,0,1,-1,-1,220,0,0,4,0,0,4,-4,-4,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,-1,-1,220,0,0,4,0,0,4,-4,-4,220,0,0,4,0,0,4,-4,-4,275,0,0,5,0,0,5,-5,-5,275,0,0,5,0,0,5,-5,-5,110,0,0,2,0,0,2,-2,-2
14,55,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,2090,0,0,38,0,0,-38,38,38,165,0,0,3,0,0,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,-1,1,1,55,0,0,1,0,0,-1,1,1,220,0,0,4,0,0,-4,4,4,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,-1,1,1,220,0,0,4,0,0,-4,4,4,220,0,0,4,0,0,-4,4,4,275,0,0,5,0,0,-5,5,5,275,0,0,5,0,0,-5,5,5,110,0,0,2,0,0,-2,2,2
15,52,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,1976,0,38,0,0,0,38,38,-38,156,0,3,0,0,0,3,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,1,1,-1,52,0,1,0,0,0,1,1,-1,208,0,4,0,0,0,4,4,-4,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,1,1,-1,208,0,4,0,0,0,4,4,-4,208,0,4,0,0,0,4,4,-4,260,0,5,0,0,0,5,5,-5,260,0,5,0,0,0,5,5,-5,104,0,2,0,0,0,2,2,-2
16,50,0,0,1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1900,0,0,38,0,0,-38,-38,38,150,0,0,3,0,0,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,-1,-1,1,50,0,0,1,0,0,-1,-1,1,200,0,0,4,0,0,-4,-4,4,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,-1,-1,1,200,0,0,4,0,0,-4,-4,4,200,0,0,4,0,0,-4,-4,4,250,0,0,5,0,0,-5,-5,5,250,0,0,5,0,0,-5,-5,5,100,0,0,2,0,0,-2,-2,2
17,55,1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,2090,38,0,0,0,0,-38,38,-38,165,3,0,0,0,0,-3,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,-1,1,-1,55,1,0,0,0,0,-1,1,-1,220,4,0,0,0,0,-4,4,-4,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,-1,1,-1,220,4,0,0,0,0,-4,4,-4,220,4,0,0,0,0,-4,4,-4,275,5,0,0,0,0,-5,5,-5,275,5,0,0,0,0,-5,5,-5,110,2,0,0,0,0,-2,2,-2
18,52,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,1976,0,0,0,38,0,38,-38,38,156,0,0,0,3,0,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,1,-1,1,52,0,0,0,1,0,1,-1,1,208,0,0,0,4,0,4,-4,4,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,1,-1,1,208,0,0,0,4,0,4,-4,4,208,0,0,0,4,0,4,-4,4,260,0,0,0,5,0,5,-5,5,260,0,0,0,5,0,5,-5,5,104,0,0,0,2,0,2,-2,2
19,50,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,38,38,-38,-38,150,0,0,0,0,3,3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,1,-1,-1,50,0,0,0,0,1,1,-1,-1,200,0,0,0,0,4,4,-4,-4,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,1,-1,-1,200,0,0,0,0,4,4,-4,-4,200,0,0,0,0,4,4,-4,-4,250,0,0,0,0,5,5,-5,-5,250,0,0,0,0,5,5,-5,-5,100,0,0,0,0,2,2,-2,-2
20,52,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,1976,0,0,0,0,38,38,-38,38,156,0,0,0,0,3,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,1,-1,1,52,0,0,0,0,1,1,-1,1,208,0,0,0,0,4,4,-4,4,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,1,-1,1,208,0,0,0,0,4,4,-4,4,208,0,0,0,0,4,4,-4,4,260,0,0,0,0,5,5,-5,5,260,0,0,0,0,5,5,-5,5,104,0,0,0,0,2,2,-2,2
21,50,0,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,1900,0,0,0,38,0,-38,38,-38,150,0,0,0,3,0,-3,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,-1,1,-1,50,0,0,0,1,0,-1,1,-1,200,0,0,0,4,0,-4,4,-4,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,-1,1,-1,200,0,0,0,4,0,-4,4,-4,200,0,0,0,4,0,-4,4,-4,250,0,0,0,5,0,-5,5,-5,250,0,0,0,5,0,-5,5,-5,100,0,0,0,2,0,-2,2,-2
22,52,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1976,38,0,0,0,0,-38,38,38,156,3,0,0,0,0,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,52,1,0,0,0,0,-1,1,1,208,4,0,0,0,0,-4,4,4,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,-1,1,1,208,4,0,0,0,0,-4,4,4,208,4,0,0,0,0,-4,4,4,260,5,0,0,0,0,-5,5,5,260,5,0,0,0,0,-5,5,5,104,2,0,0,0,0,-2,2,2
23,55,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,2090,0,38,0,0,0,38,-38,-38,165,0,3,0,0,0,3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,55,0,1,0,0,0,1,-1,-1,55,0,1,0,0,0,1,-1,-1,220,0,4,0,0,0,4,-4,-4,0,0,0,0,0,0,0,0,0,55,0,1,0,0,0,1,-1,-1,220,0,4,0,0,0,4,-4,-4,220,0,4,0,0,0,4,-4,-4,275,0,5,0,0,0,5,-5,-5,275,0,5,0,0,0,5,-5,-5,110,0,2,0,0,0,2,-2,-2
24,28,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,672,-24,-24,-24,-24,-24,-24,24,-24,112,-4,-4,-4,-4,-4,-4,4,-4,0,0,0,0,0,0,0,0,0,28,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,28,-1,-1,-1,-1,-1,-1,1,-1,56,-2,-2,-2,-2,-2,-2,2,-2,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4,0,0,0,0,0,0,0,0,0,168,-6,-6,-6,-6,-6,-6,6,-6,56,-2,-2,-2,-2,-2,-2,2,-2,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4
25,33,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,792,0,0,0,0,24,24,-24,24,132,0,0,0,0,4,4,-4,4,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,1,-1,1,66,0,0,0,0,2,2,-2,2,99,0,0,0,0,3,3,-3,3,132,0,0,0,0,4,4,-4,4,0,0,0,0,0,0,0,0,0,198,0,0,0,0,6,6,-6,6,66,0,0,0,0,2,2,-2,2,99,0,0,0,0,3,3,-3,3,132,0,0,0,0,4,4,-4,4,99,0,0,0,0,3,3,-3,3,132,0,0,0,0,4,4,-4,4
26,28,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,672,-24,-24,-24,-24,-24,-24,24,-24,112,-4,-4,-4,-4,-4,-4,4,-4,0,0,0,0,0,0,0,0,0,28,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,28,-1,-1,-1,-1,-1,-1,1,-1,56,-2,-2,-2,-2,-2,-2,2,-2,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4,0,0,0,0,0,0,0,0,0,168,-6,-6,-6,-6,-6,-6,6,-6,56,-2,-2,-2,-2,-2,-2,2,-2,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4,84,-3,-3,-3,-3,-3,-3,3,-3,112,-4,-4,-4,-4,-4,-4,4,-4
27,33,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,792,0,0,0,24,0,24,-24,24,132,0,0,0,4,0,4,-4,4,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,1,-1,1,66,0,0,0,2,0,2,-2,2,99,0,0,0,3,0,3,-3,3,132,0,0,0,4,0,4,-4,4,0,0,0,0,0,0,0,0,0,198,0,0,0,6,0,6,-6,6,66,0,0,0,2,0,2,-2,2,99,0,0,0,3,0,3,-3,3,132,0,0,0,4,0,4,-4,4,99,0,0,0,3,0,3,-3,3,132,0,0,0,4,0,4,-4,4
28,38,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,912,0,0,24,0,0,24,24,-24,152,0,0,4,0,0,4,4,-4,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,1,1,-1,76,0,0,2,0,0,2,2,-2,114,0,0,3,0,0,3,3,-3,152,0,0,4,0,0,4,4,-4,0,0,0,0,0,0,0,0,0,228,0,0,6,0,0,6,6,-6,76,0,0,2,0,0,2,2,-2,114,0,0,3,0,0,3,3,-3,152,0,0,4,0,0,4,4,-4,114,0,0,3,0,0,3,3,-3,152,0,0,4,0,0,4,4,-4
29,38,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,912,24,0,0,0,0,-24,-24,24,152,4,0,0,0,0,-4,-4,4,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,-1,-1,1,76,2,0,0,0,0,-2,-2,2,114,3,0,0,0,0,-3,-3,3,152,4,0,0,0,0,-4,-4,4,0,0,0,0,0,0,0,0,0,228,6,0,0,0,0,-6,-6,6,76,2,0,0,0,0,-2,-2,2,114,3,0,0,0,0,-3,-3,3,152,4,0,0,0,0,-4,-4,4,114,3,0,0,0,0,-3,-3,3,152,4,0,0,0,0,-4,-4,4
